curve_id,instrument,start,maturity,rate
EUR,deposit,0.0,0.0027397260273972603,-0.005
EUR,deposit,0.0,0.08333333333333333,-0.0048
EUR,deposit,0.0,0.25,-0.0045
EUR,deposit,0.0,0.5,-0.004
EUR,deposit,0.0,1.0,-0.003
EUR,swap,0.0,2.0,-0.002
EUR,swap,0.0,3.0,-0.001
EUR,swap,0.0,4.0,0.0
EUR,swap,0.0,5.0,0.001
EUR,swap,0.0,7.0,0.004
EUR,swap,0.0,10.0,0.008
EUR,swap,0.0,15.0,0.012
EUR,swap,0.0,20.0,0.014
EUR,swap,0.0,30.0,0.015
USD,deposit,0.0,0.0027397260273972603,0.053
USD,deposit,0.0,0.08333333333333333,0.0531
USD,deposit,0.0,0.25,0.0533
USD,deposit,0.0,0.5,0.0528
USD,deposit,0.0,1.0,0.051
USD,swap,0.0,2.0,0.048
USD,swap,0.0,3.0,0.0455
USD,swap,0.0,4.0,0.0442
USD,swap,0.0,5.0,0.0435
USD,swap,0.0,7.0,0.0428
USD,swap,0.0,10.0,0.0425
USD,swap,0.0,15.0,0.0427
USD,swap,0.0,20.0,0.0428
USD,swap,0.0,30.0,0.042
